topsoil_porosity,topsoil_alpha,topsoil_thetar,topsoil_ks,topsoil_n,clay_porosity,clay_alpha,clay_thetar,clay_ks,clay_n,wlt_porosity,wlt_alpha,wlt_thetar,wlt_ks,wlt_n,ult_porosity,ult_alpha,ult_thetar,ult_ks,ult_n,rh,lai,growstart,growend,wind,rmw,rmd,cn,beta,ar,liner_defects,liner_pinholes,weather_solrad,weather_precip,weather_temp,evap,runoff,precip,perc_topsoil,perc_liner,perc_clay,perc_wlt,perc_ult,drain_topsoil,wc_topsoil,wc_clay,wc_wlt,wc_ult
0.305,0.0125,0.0812,0.00212,1.0695999999999999,0.52,0.22410000000000002,0.16720000000000002,5.37e-4,1.3472,0.367,0.012,0.15310000000000001,5.003e-5,1.3336000000000001,0.398,0.0036,0.114,1.0769999999999999e-7,1.2909000000000002,76.39999999999999,0.41000000000000003,139,276,4.3,227,381,50,1.54,246,2.8,0.595,247.2,0.12,48.1,21.04,0,35.15,11.643,11.643,11.643,11.643,11.643,0.167,0.22684001534674478,0.47,0.3012778883357253,0.37798094298420004
0.289,0.0132,0.0598,0.00226,1.0688,0.516,0.2232,0.18080000000000002,3.88e-4,1.2964,0.397,0.010100000000000001,0.1535,4.472e-5,1.3987,0.396,0.009099999999999999,0.1129,1.43e-7,1.3868,76.19999999999999,2.9,136,268,4.29,228,388,73.2,1.42,230,1.9,0.636,245.5,0.15,46.8,20.49097777777778,0.5139111111111111,46.099999999999994,22.265611111111113,22.265611111111113,22.265611111111113,22.2657,22.2657,0.5306000000000001,0.23556032005200211,0.466,0.3648697720249499,0.37597193746000007
0.284,0.0132,0.0535,0.00207,1.0554999999999999,0.492,0.20550000000000002,0.10500000000000001,5.92e-4,1.3293000000000001,0.385,0.0063999999999999994,0.17880000000000001,5.7600000000000004e-5,1.2835,0.402,0.0096,0.1109,1.81e-7,1.3369000000000002,76.5,3.2899999999999996,137,267,4.38,220,384,71.5,1.18,231,8.3,0.596,245,0.12,47.699999999999996,20.826,0,35.15,11.967,11.967,11.967,11.967,11.967,0.057,0.20209175534414905,0.442,0.33,0.3819791771018691
0.287,0.014700000000000001,0.0624,0.00252,1.074,0.554,0.2124,0.1688,2.4050000000000002e-4,1.3017,0.389,0.0109,0.166,5.3200000000000006e-5,1.4085,0.396,0.004,0.19230000000000003,1.096e-7,1.1594,75.89999999999999,3.65,127,269,4.3999999999999995,218,386,69,1.04,231,8.200000000000001,0.502,252.7,0.15,45.699999999999996,20.58,0,46.099999999999994,23.031,23.031,23.031,23.031,23.031,0.189,0.20570139112358574,0.504,0.3236206311591303,0.376
0.273,0.013000000000000001,0.0665,0.00201,1.0704,0.483,0.2099,0.20390000000000003,6.270000000000001e-4,1.2134,0.41000000000000003,0.0144,0.05740000000000001,4.821e-5,1.3050000000000002,0.41400000000000003,0.007,0.23249999999999998,8.939999999999999e-8,1.441,75.8,3.03,133,265,4.22,222,393,74.3,1.28,240,2.1,0.581,245.8,0.14,48.5,21.277,0,42.449999999999996,18.548,18.548,18.548,18.548,18.548,0.325,0.2113086075167234,0.433,0.34278325887388833,0.3940000000000001
0.303,0.014100000000000001,0.0864,0.0024400000000000003,1.077,0.482,0.28790000000000004,0.18109999999999998,2.98e-4,1.3007,0.381,0.0087,0.23399999999999999,6.01e-5,1.2321000000000002,0.391,0.0029,0.10300000000000001,1.62e-7,1.2393,75.8,1.97,138,274,4.49,221,384,71.9,1.43,246,2.1,0.503,253,0.15,47.9,21.659,0.29002222222222224,46.099999999999994,21.28678888888889,21.28678888888889,21.28678888888889,21.2873,21.2873,0.5639333333333333,0.24687952396565094,0.432,0.3330800317207571,0.37099999999999994
0.302,0.013600000000000001,0.0673,0.00183,1.0682,0.5,0.21480000000000002,0.1316,4.8499999999999997e-4,1.3075,0.40800000000000003,0.0159,0.1227,5.046e-5,1.3194000000000001,0.40900000000000003,0.006200000000000001,0.19519999999999998,1.0449999999999999e-7,1.3907,75.8,1.92,133,276,4.67,232,384,53.9,1.09,246,3.8,0.743,266.1,0.15,47.1,22.098,0,46.099999999999994,21.503,21.503,21.503,21.503,21.503,0.199,0.2303226310826325,0.45,0.3440843906587743,0.388981759349
0.298,0.0164,0.0507,0.00196,1.0891,0.532,0.2208,0.11850000000000001,4.68e-4,1.2952000000000001,0.41000000000000003,0.0142,0.1896,7.69e-5,1.4392,0.404,0.0028,0.1794,1.0900000000000001e-7,1.3174000000000001,76.1,0.73,132,275,4.39,232,395,77.2,1.49,243,6.300000000000001,0.471,250.7,0.16,46.4,20.7,0,49.75,26.575,26.575,26.575,26.575,26.575,0.175,0.2123433767887342,0.482,0.326154796600124,0.3839806113360001
0.266,0.015,0.0753,0.00179,1.0694,0.531,0.21050000000000002,0.2111,2.501e-4,1.2647,0.41200000000000003,0.0086,0.22920000000000001,4.609e-5,1.3464,0.401,0.0046,0.1731,1.55e-7,1.5964,76.1,1.84,136,272,4.319999999999999,233,391,69.5,1.28,232,5.5,0.58,246.3,0.14,49.3,21.637,0,42.449999999999996,18.376,18.376,18.376,18.376,18.376,0.137,0.1959676560762882,0.481,0.3703357467808393,0.380968876092
0.295,0.0121,0.0654,0.0020499999999999997,1.0931,0.515,0.22360000000000002,0.092,4.2699999999999997e-4,1.2722,0.404,0.008,0.22100000000000003,1.059e-4,1.4695,0.401,0.0031,0.2212,1.276e-7,1.3857000000000002,76.3,1.43,134,268,4.3999999999999995,227,389,55.3,1.07,230,2.5,0.42300000000000004,251.4,0.15,47.4,21.085,0,46.099999999999994,22.328,22.328,22.328,22.328,22.328,0.387,0.23104269932932542,0.465,0.32199999999999995,0.38099228919593264
